INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=OJ__UCTw5fs', 'blogger_id': 56, 'views': '12342', 'likes': '446', 'dislikes': '11'}
INFO:root:{'description': 'from youtube parser', 'content_id': 1, 'blogger_id': 56, 'long': 'https://www.banggood.com/ru/Caddx-Turtle-FOV-145-Degree-Super-WDR-Mini-FPV-Camera-1080P-60fps-DVR-HD-Recording-OSD-for-RC-Drone-p-1320281.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/RWyPpN', 'clicks': 1973}
INFO:root:{'description': 'from youtube parser', 'content_id': 1, 'blogger_id': 56, 'long': 'https://www.banggood.com/RunCam-Split-Mini-FOV-130-Degree-1080P60fps-WDR-Low-Latency-FPV-Camera-for-RC-Drone-p-1248767.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/TLM55a', 'clicks': 761}
INFO:root:{'description': 'from youtube parser', 'content_id': 1, 'blogger_id': 56, 'long': 'https://www.banggood.com/RunCam-Split-2-FOV-130-Degree-1080P60fps-HD-Recording-Plus-WDR-FPV-Camera-NTSCPAL-Switchable-p-1212031.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/rLqxbR', 'clicks': 429}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=x3Sk0TEoeGA', 'blogger_id': 56, 'views': '4773', 'likes': '269', 'dislikes': '7'}
INFO:root:{'description': 'from youtube parser', 'content_id': 2, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-Taranis-X-LITE-2_4GHz-ACCST-16CH-RC-Transmitter-Red-Black-for-RC-Racing-Drone-p-1257443.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/xgDQP1', 'clicks': 79}
INFO:root:{'description': 'from youtube parser', 'content_id': 2, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-ACCST-Taranis-Q-X7-Transmitter-2_4G-16CH-White-Black-International-Version-p-1196246.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/eNw75P', 'clicks': 63}
INFO:root:{'description': 'from youtube parser', 'content_id': 2, 'blogger_id': 56, 'long': 'https://www.banggood.com/Original-FrSky-2_4G-16CH-ACCST-Taranis-X9D-Plus-Transmitter-Carton-Package-p-1121799.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/AdThdh', 'clicks': 48}
INFO:root:{'description': 'from youtube parser', 'content_id': 2, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-R-XSR-Ultra-SBUS-CPPM-D16-16CH-Mini-Redundancy-Receiver-1-5g-for-RC-Multirotor-FPV-Racing-Drone-p-1186057.html?utm_source=Youtube&utm_medium=cussku&utm_campaign=436908_1205053&utm_content=10344&p=6Q0405436908201402OK', 'short': 'https://goo.gl/rZGEBM', 'clicks': 68}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=QeU6J2jmJek', 'blogger_id': 56, 'views': '4172', 'likes': '187', 'dislikes': '15'}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=87cjzmUpN2M', 'blogger_id': 56, 'views': '3084', 'likes': '56', 'dislikes': '18'}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=mx43f3TjLGk', 'blogger_id': 56, 'views': '4986', 'likes': '215', 'dislikes': '18'}
INFO:root:{'description': 'from youtube parser', 'content_id': 5, 'blogger_id': 56, 'long': 'https://www.banggood.com/Realacc-UXII-5_8G-1_6dBi-RHCPLHCP-TXRX-FPV-Antenna-SMARP-SMA-Male-p-1221550.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/AHfrZZ', 'clicks': 460}
INFO:root:{'description': 'from youtube parser', 'content_id': 5, 'blogger_id': 56, 'long': 'https://www.banggood.com/Realacc-RHCP-Super-mini-AXII-Stubby-5_8GHz-1_6dBi-Antenna-For-TX-RX-Fatshark-Goggles-p-1221877.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/JbCg5t', 'clicks': 324}
INFO:root:{'description': 'from youtube parser', 'content_id': 5, 'blogger_id': 56, 'long': 'https://www.banggood.com/Realacc-UXII-Stubby-RHCP-U_FLIPEX-IPX-5_8GHz-1_6dBi-Super-Mini-Antenna-For-TX-RX-Fatshark-Goggles-R-p-1256043.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/8jx6Jo', 'clicks': 237}
INFO:root:{'description': 'from youtube parser', 'content_id': 5, 'blogger_id': 56, 'long': 'https://www.banggood.com/Realacc-UXII-5_8G-1_6dBi-MMCX-StraightMMCX-90-Degree-RHCP-FPV-Antenna-p-1256003.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/zfZDeg', 'clicks': 219}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=yP26jg7MK3E', 'blogger_id': 56, 'views': '6136', 'likes': '253', 'dislikes': '6'}
INFO:root:{'description': 'from youtube parser', 'content_id': 6, 'blogger_id': 56, 'long': 'https://www.banggood.com/IFlight-iX5-V2-5-inch-210mm-FPV-Racing-Frame-Freestyle-Frame-Kit-4mm-Arm-Carbon-Fiber-For-RC-Drone-p-1309799.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/B8iKge', 'clicks': 1202}
INFO:root:{'description': 'from youtube parser', 'content_id': 6, 'blogger_id': 56, 'long': 'https://www.banggood.com/Frog-Race-Frog-Lite-218mm-Carbon-Fiber-4mm-Arm-X-Frame-DIY-Frame-Kit-p-1131900.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/EHx7go', 'clicks': 792}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=UqvsnAkZm8o', 'blogger_id': 56, 'views': '7496', 'likes': '351', 'dislikes': '7'}
INFO:root:{'description': 'from youtube parser', 'content_id': 7, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-R9M-Lite-900MHz-Long-Range-RC-Drone-Transmitter-Module-for-Taranis-X-Lite-and-R9-Series-p-1297088.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/oqfpwV', 'clicks': 728}
INFO:root:{'description': 'from youtube parser', 'content_id': 7, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-Taranis-X-LITE-2_4GHz-ACCST-16CH-RC-Transmitter-Red-Black-for-RC-Racing-Drone-p-1257443.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/ozwUWY', 'clicks': 3069}
INFO:root:{'description': 'from youtube parser', 'content_id': 7, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-R-XSR-Ultra-SBUS-CPPM-D16-16CH-Mini-Redundancy-Receiver-1-5g-for-RC-Multirotor-FPV-Racing-Drone-p-1186057.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/xNfjV9', 'clicks': 1809}
INFO:root:{'description': 'from youtube parser', 'content_id': 7, 'blogger_id': 56, 'long': 'https://www.banggood.com/Frsky-R9-Slim-616CH-Telemetry-Mini-Receiver-Optimized-900MHz-Long-Range-with-2-Detachable-Antennas-p-1297084.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/bYx6ot', 'clicks': 471}
INFO:root:{'description': 'from youtube parser', 'content_id': 7, 'blogger_id': 56, 'long': 'https://www.banggood.com/FrSky-R9-Mini-416CH-900MHz-Long-RangeTelemetry-Receiver-with-Redundancy-Function-S_Port-Enabled-p-1290355.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/cR2hKV', 'clicks': 476}
INFO:root:{'type': 'video', 'url': 'https://www.youtube.com/watch?v=8pI9Z4BXHaY', 'blogger_id': 56, 'views': '6160', 'likes': '266', 'dislikes': '3'}
INFO:root:{'description': 'from youtube parser', 'content_id': 8, 'blogger_id': 56, 'long': 'https://www.banggood.com/4X-Racerstar-2508-BR2508S-Green-Edition-1275KV-4-6S-Brushless-Motor-For-FPV-Racing-RC-Drone-p-1310430.html?p=6Q0405436908201402OK', 'short': 'https://goo.gl/qBvmSL', 'clicks': 741}
